name,size
java.io.ObjectStreamClass,21526.0
java.io.ObjectStreamConstants,32177.0
java.io.ObjectStreamException,13674.0
java.io.ObjectStreamField,24136.0
java.io.OptionalDataException,13333.0
java.io.OutputStream,21458.0
java.io.OutputStreamWriter,28607.0
java.io.PipedInputStream,32908.0
java.io.PipedOutputStream,22575.0
java.io.PipedReader,26035.0
java.io.PipedWriter,22866.0
java.io.PrintStream,77426.0
java.io.PrintWriter,80333.0
java.io.PushbackInputStream,38326.0
java.io.PushbackReader,29875.0
java.io.RandomAccessFile,90871.0
java.io.Reader,29695.0
java.io.SequenceInputStream,23772.0
java.io.Serializable,25161.0
java.io.SerializablePermission,16413.0
java.io.StreamCorruptedException,13089.0
java.io.StreamTokenizer,45372.0
java.io.StringBufferInputStream,24427.0
java.io.StringReader,23963.0
java.io.StringWriter,29502.0
java.io.SyncFailedException,12371.0
java.io.UncheckedIOException,15981.0
java.io.UnsupportedEncodingException,12945.0
java.io.UTFDataFormatException,13756.0
java.io.WriteAbortedException,18848.0
java.io.Writer,32247.0
java.lang,
java.lang.AbstractMethodError,12955.0
java.lang.annotation,
java.lang.annotation.Annotation,27160.0
java.lang.annotation.AnnotationFormatError,15701.0
java.lang.annotation.AnnotationTypeMismatchException,16959.0
java.lang.annotation.Documented,7647.0
java.lang.annotation.ElementType,23834.0
java.lang.annotation.IncompleteAnnotationException,17420.0
java.lang.annotation.Inherited,8292.0
java.lang.annotation.Native,7450.0
java.lang.annotation.Repeatable,10011.0
java.lang.annotation.Retention,9816.0
java.lang.annotation.RetentionPolicy,17663.0
java.lang.annotation.Target,11036.0
java.lang.Appendable,16035.0
java.lang.ArithmeticException,13164.0
java.lang.ArrayIndexOutOfBoundsException,14310.0
java.lang.ArrayStoreException,13045.0
java.lang.AssertionError,21234.0
java.lang.AutoCloseable,29920.0
java.lang.Boolean,38876.0
java.lang.BootstrapMethodError,15318.0
java.lang.Byte,53558.0
java.lang.Character,267392.0
java.lang.Character.Subset,16320.0
java.lang.Character.UnicodeBlock,226802.0
java.lang.Character.UnicodeScript,76239.0
java.lang.CharSequence,18072.0
java.lang.Class,165407.0
java.lang.ClassCastException,12982.0
java.lang.ClassCircularityError,12878.0
java.lang.ClassFormatError,13084.0
java.lang.ClassLoader,94637.0
java.lang.ClassNotFoundException,19407.0
java.lang.ClassValue,20386.0
java.lang.Cloneable,9466.0
java.lang.CloneNotSupportedException,13472.0
java.lang.Comparable,31307.0
java.lang.Compiler,15731.0
java.lang.Deprecated,7860.0
java.lang.Double,80718.0
java.lang.Enum,28830.0
java.lang.EnumConstantNotPresentException,16334.0
java.lang.Error,20537.0
java.lang.Exception,28237.0
java.lang.ExceptionInInitializerError,19408.0
java.lang.Float,78795.0
java.lang.FunctionalInterface,8686.0
java.lang.IllegalAccessError,13183.0
java.lang.IllegalAccessException,15678.0
java.lang.IllegalArgumentException,18774.0
java.lang.IllegalMonitorStateException,13633.0
java.lang.IllegalStateException,19874.0
java.lang.IllegalThreadStateException,13562.0
java.lang.IncompatibleClassChangeError,13752.0
java.lang.IndexOutOfBoundsException,13443.0
java.lang.InheritableThreadLocal,14217.0
java.lang.InstantiationError,13191.0
